,gis_id,chronology,hierarchy,sb_name,su_name,x,z
334,1156,12,3,topo,,4562.8291,128.956605
335,1157,12,3,topo,,4567.8215,128.31160500000001
336,1158,12,3,topo,,4572.8139,128.00000500000002
337,1175,12,3,topo,,4657.6845,127.738005
338,1178,12,3,topo,,4672.6617,128.00000500000002
339,1179,12,3,topo,,4677.6541,128.006805
340,1180,12,3,topo,,4682.6465,128.21840500000002
341,1188,12,3,topo,,4722.5857,128.00000500000002
342,1189,12,3,topo,,4727.5781,128.00000500000002
343,1220,12,3,topo,,4882.3425,128.00000500000002
344,1221,12,3,topo,,4887.3349,128.00000500000002
345,1222,12,3,topo,,4892.3273,128.00000500000002
346,1223,12,3,topo,,4897.3197,128.00000500000002
347,1224,12,3,topo,,4902.3121,127.03940500000002
348,1225,12,3,topo,,4907.3045,127.00020500000001
349,1226,12,3,topo,,4912.2969,127.00000500000002
350,1227,12,3,topo,,4917.2893,127.00000500000002
351,1228,12,3,topo,,4922.2817,127.00000500000002
352,1229,12,3,topo,,4927.2741,127.00000500000002
353,1230,12,3,topo,,4932.2665,127.00000500000002
354,1234,12,3,topo,,7244.6031,129.00000500000002
355,1235,12,3,topo,,7245.9141,129.00000500000002
356,1236,12,3,topo,,7250.8893,129.00000500000002
357,1237,12,3,topo,,7255.8647,129.00000500000002
358,1238,12,3,topo,,7260.8399,128.981905
359,1239,12,3,topo,,7265.8151,128.49120499999998
360,1240,12,3,topo,,7270.7905,128.00000500000002
361,1241,12,3,topo,,7275.7657,128.00000500000002
362,1242,12,3,topo,,7280.7409,127.800205
363,1243,12,3,topo,,7285.7163,125.086305
364,1244,12,3,topo,,7290.6915,122.767005
365,1245,12,3,topo,,7295.6667,119.20880500000001
366,1248,12,3,topo,,7310.5925,121.586605
367,1249,12,3,topo,,7315.5677,123.96710499999999
368,1250,12,3,topo,,7320.5431,123.316705
369,1251,12,3,topo,,7325.5183,122.248305
370,1252,12,3,topo,,7330.4935,121.68940500000001
